Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
1361,No,Yes,Yes,Yes,WA,2001/3/1 20:30,DR,Earthquake,EARTHQUAKE,2001/2/28 8:54,2001/3/16 0:00,2011/10/25 0:00,99031,Jefferson (County),1025
1361,No,Yes,Yes,Yes,WA,2001/3/1 20:30,DR,Earthquake,EARTHQUAKE,2001/2/28 8:54,2001/3/16 0:00,2011/10/25 0:00,99033,King (County),1025
1361,No,Yes,Yes,Yes,WA,2001/3/1 20:30,DR,Earthquake,EARTHQUAKE,2001/2/28 8:54,2001/3/16 0:00,2011/10/25 0:00,99035,Kitsap (County),1025
1361,No,Yes,Yes,Yes,WA,2001/3/1 20:30,DR,Earthquake,EARTHQUAKE,2001/2/28 8:54,2001/3/16 0:00,2011/10/25 0:00,99037,Kittitas (County),1025
1361,No,Yes,Yes,Yes,WA,2001/3/1 20:30,DR,Earthquake,EARTHQUAKE,2001/2/28 8:54,2001/3/16 0:00,2011/10/25 0:00,99041,Lewis (County),1025
1361,No,Yes,Yes,Yes,WA,2001/3/1 20:30,DR,Earthquake,EARTHQUAKE,2001/2/28 8:54,2001/3/16 0:00,2011/10/25 0:00,99045,Mason (County),1025
1361,No,Yes,Yes,Yes,WA,2001/3/1 20:30,DR,Earthquake,EARTHQUAKE,2001/2/28 8:54,2001/3/16 0:00,2011/10/25 0:00,99049,Pacific (County),1025
1361,No,Yes,Yes,Yes,WA,2001/3/1 20:30,DR,Earthquake,EARTHQUAKE,2001/2/28 8:54,2001/3/16 0:00,2011/10/25 0:00,99053,Pierce (County),1025
1361,No,Yes,Yes,Yes,WA,2001/3/1 20:30,DR,Earthquake,EARTHQUAKE,2001/2/28 8:54,2001/3/16 0:00,2011/10/25 0:00,99057,Skagit (County),1025
1361,No,Yes,Yes,Yes,WA,2001/3/1 20:30,DR,Earthquake,EARTHQUAKE,2001/2/28 8:54,2001/3/16 0:00,2011/10/25 0:00,99059,Skamania (County),1025
1361,No,Yes,Yes,Yes,WA,2001/3/1 20:30,DR,Earthquake,EARTHQUAKE,2001/2/28 8:54,2001/3/16 0:00,2011/10/25 0:00,99061,Snohomish (County),1025
1361,No,Yes,Yes,Yes,WA,2001/3/1 20:30,DR,Earthquake,EARTHQUAKE,2001/2/28 8:54,2001/3/16 0:00,2011/10/25 0:00,99067,Thurston (County),1025
1361,No,Yes,Yes,Yes,WA,2001/3/1 20:30,DR,Earthquake,EARTHQUAKE,2001/2/28 8:54,2001/3/16 0:00,2011/10/25 0:00,99069,Wahkiakum (County),1025
1361,No,Yes,Yes,Yes,WA,2001/3/1 20:30,DR,Earthquake,EARTHQUAKE,2001/2/28 8:54,2001/3/16 0:00,2011/10/25 0:00,99071,Walla Walla (County),1025
