Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
1623,Yes,Yes,Yes,Yes,OK,2006/1/10 23:05,DR,Fire,EXTREME WILDFIRE THREAT,2005/11/27 0:00,2006/3/31 16:20,2014/12/30 23:59,99133,Seminole (County),6020
1623,Yes,Yes,Yes,Yes,OK,2006/1/10 23:05,DR,Fire,EXTREME WILDFIRE THREAT,2005/11/27 0:00,2006/3/31 16:20,2014/12/30 23:59,99135,Sequoyah (County),6020
1623,Yes,Yes,Yes,Yes,OK,2006/1/10 23:05,DR,Fire,EXTREME WILDFIRE THREAT,2005/11/27 0:00,2006/3/31 16:20,2014/12/30 23:59,99137,Stephens (County),6020
1623,Yes,Yes,Yes,Yes,OK,2006/1/10 23:05,DR,Fire,EXTREME WILDFIRE THREAT,2005/11/27 0:00,2006/3/31 16:20,2014/12/30 23:59,99139,Texas (County),6020
1623,Yes,Yes,Yes,Yes,OK,2006/1/10 23:05,DR,Fire,EXTREME WILDFIRE THREAT,2005/11/27 0:00,2006/3/31 16:20,2014/12/30 23:59,99141,Tillman (County),6020
1623,Yes,Yes,Yes,Yes,OK,2006/1/10 23:05,DR,Fire,EXTREME WILDFIRE THREAT,2005/11/27 0:00,2006/3/31 16:20,2014/12/30 23:59,99143,Tulsa (County),6020
1623,Yes,Yes,Yes,Yes,OK,2006/1/10 23:05,DR,Fire,EXTREME WILDFIRE THREAT,2005/11/27 0:00,2006/3/31 16:20,2014/12/30 23:59,99145,Wagoner (County),6020
1623,Yes,Yes,Yes,Yes,OK,2006/1/10 23:05,DR,Fire,EXTREME WILDFIRE THREAT,2005/11/27 0:00,2006/3/31 16:20,2014/12/30 23:59,99147,Washington (County),6020
1623,Yes,Yes,Yes,Yes,OK,2006/1/10 23:05,DR,Fire,EXTREME WILDFIRE THREAT,2005/11/27 0:00,2006/3/31 16:20,2014/12/30 23:59,99149,Washita (County),6020
1623,Yes,Yes,Yes,Yes,OK,2006/1/10 23:05,DR,Fire,EXTREME WILDFIRE THREAT,2005/11/27 0:00,2006/3/31 16:20,2014/12/30 23:59,99151,Woods (County),6020
1623,Yes,Yes,Yes,Yes,OK,2006/1/10 23:05,DR,Fire,EXTREME WILDFIRE THREAT,2005/11/27 0:00,2006/3/31 16:20,2014/12/30 23:59,99153,Woodward (County),6020
2616,No,No,Yes,No,OK,2006/1/9 22:07,FM,Fire,HENRYETTA FIRE ,2006/1/9 0:00,,2009/2/24 0:00,99091,McIntosh (County),6025
2616,No,No,Yes,No,OK,2006/1/9 22:07,FM,Fire,HENRYETTA FIRE ,2006/1/9 0:00,,2009/2/24 0:00,99111,Okmulgee (County),6025
2615,No,No,Yes,No,OK,2006/1/8 21:40,FM,Fire,MCNALLY FLATS FIRE,2006/1/8 12:40,,2009/2/24 0:00,99091,McIntosh (County),6023
2614,No,No,Yes,No,TX,2006/1/8 16:31,FM,Fire,HAWKINS FIRE ,2006/1/8 0:00,,2008/6/26 0:00,99499,Wood (County),6033
2613,No,No,Yes,No,CO,2006/1/8 5:15,FM,Fire,MAURICIO CANYON FIRE,2006/1/7 18:00,2006/1/16 18:00,2011/5/4 0:00,99055,Huerfano (County),6019
2613,No,No,Yes,No,CO,2006/1/8 5:15,FM,Fire,MAURICIO CANYON FIRE,2006/1/7 18:00,2006/1/16 18:00,2011/5/4 0:00,99071,Las Animas (County),6019
2612,No,No,Yes,No,TX,2006/1/7 15:34,FM,Fire,CEDAR CREEK FIRE,2006/1/7 0:00,,2008/6/26 0:00,99021,Bastrop (County),6034
2611,No,No,Yes,No,TX,2006/1/5 20:15,FM,Fire,MILL CREEK FIRE ,2006/1/5 0:00,,2008/6/26 0:00,99347,Nacogdoches (County),6015
2610,No,No,Yes,No,TX,2006/1/5 19:45,FM,Fire,ROSEWOOD FIRE ,2006/1/5 0:00,,2008/6/26 0:00,99027,Bell (County),6017
2609,No,No,Yes,No,TX,2006/1/5 17:49,FM,Fire,BULVERDE FIRE,2006/1/5 0:00,,2008/6/26 0:00,99029,Bexar (County),6016
2608,No,No,Yes,No,OK,2006/1/3 17:37,FM,Fire,EUFAULA FIRE,2006/1/3 0:00,,2009/2/24 0:00,99091,McIntosh (County),6012
2603,No,No,Yes,No,OK,2006/1/2 18:05,FM,Fire,CASHION FIRE COMPLEX  ,2006/1/1 0:00,,2009/2/24 0:00,99073,Kingfisher (County),6011
2604,No,No,Yes,No,OK,2006/1/2 18:05,FM,Fire,GUTHRIE FIRE,2006/1/1 0:00,,2009/2/24 0:00,99083,Logan (County),6018
2605,No,No,Yes,No,OK,2006/1/2 18:05,FM,Fire,SAPULPA FIRE COMPLEX,2006/1/1 0:00,,2009/2/24 0:00,99037,Creek (County),6028
2606,No,No,Yes,No,OK,2006/1/2 18:05,FM,Fire,PRAGUE FIRE ,2006/1/1 0:00,,2009/2/24 0:00,99081,Lincoln (County),6026
2606,No,No,Yes,No,OK,2006/1/2 18:05,FM,Fire,PRAGUE FIRE ,2006/1/1 0:00,,2009/2/24 0:00,99107,Okfuskee (County),6026
2607,No,No,Yes,No,OK,2006/1/2 18:05,FM,Fire,63RD STREET FIRE,2006/1/1 0:00,,2006/2/24 0:00,99109,Oklahoma (County),6007
2601,No,No,Yes,No,OK,2006/1/2 13:00,FM,Fire,SHAMROCK FIRE COMPLEX,2006/1/1 0:00,,2009/2/24 0:00,99037,Creek (County),6004
2602,No,No,Yes,No,OK,2006/1/2 13:00,FM,Fire,BETHEL ACRES FIRE ,2006/1/1 0:00,,2009/2/24 0:00,99125,Pottawatomie (County),6005
2600,No,No,Yes,No,NM,2006/1/2 10:23,FM,Fire,SOUTHEAST NEW MEXICO FIRE COMPLEX,2006/1/1 0:00,2006/1/4 0:00,2010/7/8 0:00,99015,Eddy (County),6029
2600,No,No,Yes,No,NM,2006/1/2 10:23,FM,Fire,SOUTHEAST NEW MEXICO FIRE COMPLEX,2006/1/1 0:00,2006/1/4 0:00,2010/7/8 0:00,99025,Lea (County),6029
2599,No,No,Yes,No,OK,2006/1/1 23:07,FM,Fire,WAINWRIGHT FIRE COMPLEX,2006/1/1 0:00,,2009/2/24 0:00,99101,Muskogee (County),6009
2598,No,No,Yes,No,TX,2006/1/1 19:52,FM,Fire,RINGGOLD FIRE ,2006/1/1 0:00,,2008/6/26 0:00,99337,Montague (County),6036
2597,No,No,Yes,No,OK,2006/1/1 17:02,FM,Fire,DEPEW FIRE COMPLEX,2006/1/1 0:00,,2009/2/24 0:00,99037,Creek (County),6008
2596,No,No,Yes,No,TX,2006/1/1 16:44,FM,Fire,CARBON FIRE,2006/1/1 0:00,,2008/6/26 0:00,99133,Eastland (County),6013
2595,No,No,Yes,No,OK,2005/12/29 19:12,FM,Fire,EASTERN OKLAHOMA COUNTY FIRE COMPLEX,2005/12/29 0:00,,2010/4/9 0:00,99109,Oklahoma (County),6010
2594,No,No,Yes,No,OK,2005/12/28 18:38,FM,Fire,ACHILLE FIRE COMPLEX,2005/12/27 0:00,,2010/4/9 0:00,99013,Bryan (County),6003
2592,No,No,Yes,No,OK,2005/12/28 16:00,FM,Fire,HUGHES COUNTY FIRE COMPLEX,2005/12/26 0:00,2005/12/29 0:00,2010/4/9 0:00,99133,Seminole (County),6024
2593,No,No,Yes,No,TX,2005/12/28 16:00,FM,Fire,KENNEDALE FIRE,2005/12/27 0:00,,2008/6/26 0:00,99439,Tarrant (County),6035
2591,No,No,Yes,No,TX,2005/12/28 13:13,FM,Fire,CALLAHAN COUNTY FIRE,2005/12/27 0:00,,2008/6/26 0:00,99059,Callahan (County),6014
